ticker,weight,prob_up
BA,0.1,0.6827766991091254
IBM,0.1,0.6688993403892483
GS,0.1,0.628600824362723
HD,0.1,0.6200320798439168
INTC,0.1,0.6138445980973087
XLK,0.1,0.6132771381691132
CRM,0.1,0.5901703536090602
MSFT,0.1,0.5823205178570416
XLU,0.1,0.5581461816196864
ORCL,0.1,0.557085817451147
