date,rank,rolling_mean_return
2025-04-30,9.0,0.02191360637272321
2025-05-31,9.0,0.023500969645928516
2025-06-30,9.0,0.02245126665846253
2025-07-31,9.0,0.021153609558942837
2025-08-31,9.0,0.024962802745716012
2025-09-30,9.0,0.025971694329572536
2025-10-31,9.0,0.02066701712016249
2025-11-30,9.0,0.01939214876671723
2025-12-31,9.0,0.018840403578295892
2010-12-31,10.0,0.00943956903102529
2011-01-31,10.0,0.009752134256375193
2011-02-28,10.0,0.007332768833675623
2011-03-31,10.0,0.008773083704149694
2011-04-30,10.0,0.008639123442145114
2011-05-31,10.0,0.007218223643916198
2011-06-30,10.0,0.008128460183993538
2011-07-31,10.0,0.007365339071101929
2011-08-31,10.0,0.007447143221326027
2011-09-30,10.0,0.0065931400061905445
2011-10-31,10.0,0.006827185742971112
2011-11-30,10.0,0.0056581411532945795
2011-12-31,10.0,0.006357245764407032
2012-01-31,10.0,0.008742779873279899
2012-02-29,10.0,0.009341132297183008
2012-03-31,10.0,0.008344491420430675
2012-04-30,10.0,0.008318078197135537
2012-05-31,10.0,0.008248829246914273
2012-06-30,10.0,0.008540100031782408
2012-07-31,10.0,0.00905614948783478
2012-08-31,10.0,0.008570759691212737
2012-09-30,10.0,0.00633761922578478
2012-10-31,10.0,0.008721034098497747
2012-11-30,10.0,0.007084797643431088
2012-12-31,10.0,0.007186775174470433
2013-01-31,10.0,0.008266362500178861
2013-02-28,10.0,0.008315455495306658
2013-03-31,10.0,0.009367378432149303
2013-04-30,10.0,0.011614506464594032
2013-05-31,10.0,0.013477632884749785
2013-06-30,10.0,0.014410333181085307
2013-07-31,10.0,0.015973932542387454
2013-08-31,10.0,0.019228070067603638
2013-09-30,10.0,0.02004069303306842
2013-10-31,10.0,0.020788261455528954
2013-11-30,10.0,0.02051184379185112
2013-12-31,10.0,0.017720770710455743
2014-01-31,10.0,0.01912374112626699
2014-02-28,10.0,0.018016986719414544
2014-03-31,10.0,0.018215000864566008
2014-04-30,10.0,0.018938051188875052
2014-05-31,10.0,0.019200796204100992
2014-06-30,10.0,0.015900087864522076
2014-07-31,10.0,0.015489229260527244
2014-08-31,10.0,0.013927646566086697
2014-09-30,10.0,0.012681726949833843
2014-10-31,10.0,0.011846058556577303
2014-11-30,10.0,0.013842829075021821
2014-12-31,10.0,0.009505871497379493
2015-01-31,10.0,0.011540758680384882
2015-02-28,10.0,0.008571009051730138
2015-03-31,10.0,0.009409687498553393
2015-04-30,10.0,0.010313589996574234
2015-05-31,10.0,0.009319321536861673
2015-06-30,10.0,0.008761126248480884
2015-07-31,10.0,0.008859764615657082
2015-08-31,10.0,0.0065551831708009715
2015-09-30,10.0,0.007267170985622082
2015-10-31,10.0,0.006578476448153869
2015-11-30,10.0,0.00579387909257084
2015-12-31,10.0,0.004050521139487843
2016-01-31,10.0,0.0028368846221377077
2016-02-29,10.0,0.008543726008915944
2016-03-31,10.0,0.007218559555759624
2016-04-30,10.0,0.01030468479672974
2016-05-31,10.0,0.011741047056783473
2016-06-30,10.0,0.012302759495244203
2016-07-31,10.0,0.012463136660517599
2016-08-31,10.0,0.012152790008869825
2016-09-30,10.0,0.011664623114778777
2016-10-31,10.0,0.011249201412822993
2016-11-30,10.0,0.012464147251592252
2016-12-31,10.0,0.01178774194775853
2017-01-31,10.0,0.012541147027089203
2017-02-28,10.0,0.01255187472938024
2017-03-31,10.0,0.014082725903411784
2017-04-30,10.0,0.013266391432591366
2017-05-31,10.0,0.01144862394448207
2017-06-30,10.0,0.01149922483283035
2017-07-31,10.0,0.010737527236430879
2017-08-31,10.0,0.009782984116881195
2017-09-30,10.0,0.011835144681577928
2017-10-31,10.0,0.011192804561278536
2017-11-30,10.0,0.012193934749539035
2017-12-31,10.0,0.01592031607842461
2018-01-31,10.0,0.014169070016431532
2018-02-28,10.0,0.013822579410162315
2018-03-31,10.0,0.014929581990000175
2018-04-30,10.0,0.012959161989033725
2018-05-31,10.0,0.012090194535911198
2018-06-30,10.0,0.013389680454368938
2018-07-31,10.0,0.014004688579866257
2018-08-31,10.0,0.012272448505901324
2018-09-30,10.0,0.012758315646656391
2018-10-31,10.0,0.010646997290815008
2018-11-30,10.0,0.009869841780026676
2018-12-31,10.0,0.010764102537149262
2019-01-31,10.0,0.009079175166254784
2019-02-28,10.0,0.008626142327960128
2019-03-31,10.0,0.00983890943255251
2019-04-30,10.0,0.008026345815987514
2019-05-31,10.0,0.007977566458461446
2019-06-30,10.0,0.007923101648516163
2019-07-31,10.0,0.009161010807698941
2019-08-31,10.0,0.00946455282282018
2019-09-30,10.0,0.0095407981032782
2019-10-31,10.0,0.008177534302050808
2019-11-30,10.0,0.006990283913732809
2019-12-31,10.0,0.009826516336635475
2020-01-31,10.0,0.006744089192545213
2020-02-29,10.0,0.0059004686125844015
2020-03-31,10.0,0.00693726060316839
2020-04-30,10.0,0.0069487725204354775
2020-05-31,10.0,0.009567128414211234
2020-06-30,10.0,0.011088503480908375
2020-07-31,10.0,0.01428082483143008
2020-08-31,10.0,0.014117964985963466
2020-09-30,10.0,0.011952048783304286
2020-10-31,10.0,0.01627857117830861
2020-11-30,10.0,0.017087386746964323
2020-12-31,10.0,0.01820215428905429
2021-01-31,10.0,0.019300741335623043
2021-02-28,10.0,0.01607850527850863
2021-03-31,10.0,0.016210865256478076
2021-04-30,10.0,0.013913141073187273
2021-05-31,10.0,0.014023783637705891
2021-06-30,10.0,0.013478537666103262
2021-07-31,10.0,0.01549414385680779
2021-08-31,10.0,0.014750172663617932
2021-09-30,10.0,0.015435099213024142
2021-10-31,10.0,0.015403026228035006
2021-11-30,10.0,0.01491854727715888
2021-12-31,10.0,0.013255235691277904
2022-01-31,10.0,0.011225911199491257
2022-02-28,10.0,0.011032589498451557
2022-03-31,10.0,0.0075464705404835
2022-04-30,10.0,0.005872768042321341
2022-05-31,10.0,0.007132642259725425
2022-06-30,10.0,0.00842662725504571
2022-07-31,10.0,0.007103482886470202
2022-08-31,10.0,0.005237416702895238
2022-09-30,10.0,0.0039474214858451085
2022-10-31,10.0,0.005024767790440673
2022-11-30,10.0,0.003371519596754418
2022-12-31,10.0,0.0031353093593242897
2023-01-31,10.0,0.0031704999381991514
2023-02-28,10.0,0.00395603893560085
2023-03-31,10.0,0.00235521528426643
2023-04-30,10.0,0.003964408684502982
2023-05-31,10.0,0.0037957997652406984
2023-06-30,10.0,0.002793691941767987
2023-07-31,10.0,0.0021854555993327186
2023-08-31,10.0,0.001477185575519142
2023-09-30,10.0,0.001779134210241457
2023-10-31,10.0,0.0033113104593606936
2023-11-30,10.0,0.004728469576434314
2023-12-31,10.0,0.007304699186299372
2024-01-31,10.0,0.00789151909729862
2024-02-29,10.0,0.007406354537935063
2024-03-31,10.0,0.006150595093324602
2024-04-30,10.0,0.009600292779146728
2024-05-31,10.0,0.009831045365212331
2024-06-30,10.0,0.009289042200117642
2024-07-31,10.0,0.007214449585793733
2024-08-31,10.0,0.006237899724913616
2024-09-30,10.0,0.006301679125686905
2024-10-31,10.0,0.008256845774042867
2024-11-30,10.0,0.007762649758480791
2024-12-31,10.0,0.00890428935807252
2025-01-31,10.0,0.007801625548089815
2025-02-28,10.0,0.011248960867039293
2025-03-31,10.0,0.012656532200770612
2025-04-30,10.0,0.012930137133239029
2025-05-31,10.0,0.01340769370691173
2025-06-30,10.0,0.011733568191351247
2025-07-31,10.0,0.01048334674222887
2025-08-31,10.0,0.011368523318648007
2025-09-30,10.0,0.01390817528149565
2025-10-31,10.0,0.009806000743283104
2025-11-30,10.0,0.010145404747394228
2025-12-31,10.0,0.010711347544167313
2010-12-31,11.0,0.011440996948778459
2011-01-31,11.0,0.012046120494991396
2011-02-28,11.0,0.011289242401052795
2011-03-31,11.0,0.008825986309935625
2011-04-30,11.0,0.00894942895132731
2011-05-31,11.0,0.008323740125257445
2011-06-30,11.0,0.006171792888895073
2011-07-31,11.0,0.006508430932205381
2011-08-31,11.0,0.005547914195548837
2011-09-30,11.0,0.0047016945660187295
2011-10-31,11.0,0.0046849952763763515
2011-11-30,11.0,0.00479694312769069
2011-12-31,11.0,0.005796333492862853
2012-01-31,11.0,0.006940712099885595
2012-02-29,11.0,0.008044195343701323
2012-03-31,11.0,0.006593944738407724
2012-04-30,11.0,0.004658045973348231
2012-05-31,11.0,0.004656187108016671
2012-06-30,11.0,0.0025776278184353562
2012-07-31,11.0,0.004532931057608201
2012-08-31,11.0,0.004051259964918434
2012-09-30,11.0,0.0015717939935138915
2012-10-31,11.0,0.002219281651556225
2012-11-30,11.0,0.004454001712247839
2012-12-31,11.0,0.006467903045320608
2013-01-31,11.0,0.0098806400480975
2013-02-28,11.0,0.011760017122059775
2013-03-31,11.0,0.009974959758177197
2013-04-30,11.0,0.010654492730602162
2013-05-31,11.0,0.013922547639286405
2013-06-30,11.0,0.012085620782988714
2013-07-31,11.0,0.010574243273363168
2013-08-31,11.0,0.010258602581542355
