month,equity
2006-01-31,0.9383349694579234
2006-02-28,0.9655510319029464
2006-03-31,1.0065933469351211
2006-04-30,0.8886810141890158
2006-05-31,0.8263875588860967
2006-06-30,0.8330046943260738
2006-07-31,0.8785629976746925
2006-08-31,0.9033728440628179
2006-09-30,0.9673865986548389
2006-10-31,1.0262699701656195
2006-11-30,1.029624709252068
2006-12-31,1.0105838556504407
2007-01-31,0.972363085213792
2007-02-28,0.9923164687992866
2007-03-31,1.0534350011500022
2007-04-30,1.1513895145138522
2007-05-31,1.1777358596102458
2007-06-30,1.2290953660802717
2007-07-31,1.2992630913808527
2007-08-31,1.4301663940439242
2007-09-30,1.4794017016111658
2007-10-31,1.4326273099141
2007-11-30,1.4450220168725423
2007-12-31,1.1133676437458742
2008-01-31,1.0885503395083158
2008-02-29,1.1228203270256503
2008-03-31,1.1626845381207327
2008-04-30,1.182411989733399
2008-05-31,1.1290185044012797
2008-06-30,1.1263602677035256
2008-07-31,1.0439424206680898
2008-08-31,0.9485026771986012
2008-09-30,0.840696950722672
2008-10-31,0.814161553517799
2008-11-30,0.888787691703472
2008-12-31,0.893287842857236
2009-01-31,0.905314747762313
2009-02-28,0.976044864262758
2009-03-31,0.98350974009008
2009-04-30,0.9521212191562028
2009-05-31,0.9680976696354412
2009-06-30,1.0004793958633962
2009-07-31,1.076006771222037
2009-08-31,1.138563302827939
2009-09-30,1.1014147143491504
2009-10-31,1.1639072216196567
2009-11-30,1.315642591913384
2009-12-31,1.1219735552496366
2010-01-31,1.1682681548989309
2010-02-28,1.330571678700867
2010-03-31,1.307303956043443
2010-04-30,1.2831410036796287
2010-05-31,1.1845168422500651
2010-06-30,1.164812281286616
2010-07-31,1.1514673261657589
2010-08-31,1.3566111020423364
2010-09-30,1.4397111806266407
2010-10-31,1.5567528126711996
2010-11-30,1.5900857578689165
2010-12-31,1.6317328648052
2011-01-31,1.744775745190272
2011-02-28,1.7745682379205128
2011-03-31,1.8995460172671597
2011-04-30,1.899664171716165
2011-05-31,1.9088226373635255
2011-06-30,1.9454635396056326
2011-07-31,1.8808643298494365
2011-08-31,1.5742581230880806
2011-09-30,1.6613771568503515
2011-10-31,1.6341786843888
2011-11-30,1.6907932429612367
2011-12-31,1.756006714057784
2012-01-31,1.8851310401604748
2012-02-29,1.9800993491421137
2012-03-31,1.9584142702961156
2012-04-30,1.9164372313537519
2012-05-31,1.9932775363818418
2012-06-30,2.085348212020113
2012-07-31,2.148066664203703
2012-08-31,2.1978903614233216
2012-09-30,2.1566872517045756
2012-10-31,2.2441928132677957
2012-11-30,2.280110948610844
2012-12-31,2.424310466746432
2013-01-31,2.4154555371232607
2013-02-28,2.4548456334813524
2013-03-31,2.574312339749006
2013-04-30,3.1116738467928107
2013-05-31,3.2009544864399864
2013-06-30,3.542281127127111
2013-07-31,3.796335992001641
2013-08-31,4.339404846632066
2013-09-30,4.20101871802046
2013-10-31,4.326455286904751
2013-11-30,4.658382863324968
2013-12-31,5.175701114219769
2014-01-31,5.808771962289994
2014-02-28,5.283476628279468
2014-03-31,5.277485338812193
2014-04-30,5.871972925537433
2014-05-31,6.399795155869627
2014-06-30,6.2194442288107314
2014-07-31,6.9880159014372145
2014-08-31,7.1455902268192535
2014-09-30,7.080831792858289
2014-10-31,7.538414583202641
2014-11-30,7.451941165830778
2014-12-31,6.941689132879731
2015-01-31,7.668083209747219
2015-02-28,7.5862733061308605
2015-03-31,7.2167453807346496
2015-04-30,7.9786270605716245
2015-05-31,7.879103947233645
2015-06-30,8.154352243686464
2015-07-31,8.020172095096543
