vol_mult,beta_shift,final_equity,max_drawdown
0.8,-0.2,6.631975432969185,-0.12486381455845308
0.8,-0.1,8.314793230838713,-0.14018369178104517
0.8,0.0,10.401088493802783,-0.15542622052329713
0.8,0.1,12.98164336752585,-0.17058764281300565
0.8,0.2,16.16622484277003,-0.18566428785407574
0.9,-0.2,8.314793230838713,-0.14018369178104517
0.9,-0.1,10.69457318506933,-0.15732590993641327
0.9,0.0,13.716406823986313,-0.1743648934162232
0.9,0.1,17.542380186832418,-0.19129543889741918
0.9,0.2,22.372469442475072,-0.2081124825528855
1.0,-0.2,10.401088493802783,-0.15542622052329713
1.0,-0.1,13.716406823986313,-0.1743648934162232
1.0,0.0,18.025401721019893,-0.19316969560325126
1.0,0.1,23.605910354521882,-0.21183369143722153
1.0,0.2,30.80742246415623,-0.2303501575990019
1.1,-0.2,12.98164336752584,-0.17058764281300587
1.1,-0.1,17.542380186832418,-0.1912954388974193
1.1,0.0,23.605910354521882,-0.21183369143722153
1.1,0.1,31.632719866592435,-0.2321934375624336
1.1,0.2,42.2128995437489,-0.2523660247563675
1.2,-0.2,16.166224842770035,-0.18566428785407552
1.2,-0.1,22.372469442475072,-0.2081124825528855
1.2,0.0,30.80742246415623,-0.2303501575990019
1.2,0.1,42.2128995437489,-0.2523660247563675
1.2,0.2,57.556509453240935,-0.2741492344731039
