date,equity,beta,scale
2007-01-31,,,
2007-02-28,,,
2007-04-30,,,
2007-05-31,,,
2007-07-31,,,
2007-08-31,,,
2007-10-31,,,
2007-11-30,,,
2007-12-31,,,
2008-01-31,,,
2008-02-29,,,
2008-03-31,,,
2008-04-30,,,
2008-06-30,,,
2008-07-31,,,
2008-09-30,,,
2008-10-31,,,
2008-12-31,,,
2009-03-31,,,
2009-04-30,,,
2009-06-30,,,
2009-07-31,,,
2009-08-31,,,
2009-09-30,,,
2009-11-30,1.0742169706414766,0.2,1.5
2009-12-31,0.9923242122251784,0.2,1.5
2010-03-31,0.998837204432322,0.2,1.5
2010-04-30,0.9483023866363584,0.2,1.5
2010-06-30,0.9737971280402137,0.2,1.5
2010-08-31,1.0707124079755117,0.2,1.5
2010-09-30,1.110503232308878,0.2,1.5
2010-11-30,1.1508662152739737,0.2,1.5
2010-12-31,1.2016064389049037,0.2,1.5
2011-01-31,1.2544905487589872,0.2,1.5
2011-02-28,1.260159230017372,0.2,1.5
2011-03-31,1.3134051793828434,0.2,1.5
2011-05-31,1.2662845582647815,0.2,1.5
2011-06-30,1.2733354560531485,0.2,1.5
2011-08-31,1.132127291040282,0.2,1.5
2011-09-30,1.2271763407527299,0.2,1.5
2011-10-31,1.2069275289990777,0.2,1.5
2011-11-30,1.2168738671929937,0.2,1.5
2012-01-31,1.2168738671929937,0.2,1.5
2012-02-29,1.2767136618142736,0.2,1.5
2012-04-30,1.1985938972273362,0.2,1.5
2012-05-31,1.2551190672176342,0.2,1.5
2012-07-31,1.2936552147430214,0.2,1.5
2012-08-31,1.319166257880856,0.2,1.5
2012-10-31,1.353821236153803,0.2,1.5
2012-11-30,1.388893084989399,0.2,1.5
2012-12-31,1.5082702408956215,0.2,1.5
2013-01-31,1.5149926692904032,0.2,1.5
2013-02-28,1.5569979306507824,0.2,1.5
2013-04-30,1.7501190912607352,0.2,1.5
2013-05-31,1.7405152137800866,0.2,1.5
2013-07-31,1.7804450363386826,0.2,1.5
2013-09-30,1.7979130336895632,0.2,1.5
2013-10-31,1.8546961180495203,0.2,1.5
2013-12-31,1.8766496949707925,0.2,1.5
2014-01-31,2.0484638526215093,0.2,1.5
2014-02-28,1.9915121346293776,0.2,1.5
2014-03-31,1.9722205183614128,0.2,1.5
2014-04-30,2.0657290821262633,0.2,1.5
2014-06-30,2.0469060014913136,0.3239469854333072,1.5
2014-07-31,2.1944015744670153,0.2,1.5
2014-09-30,2.2008795751407546,0.2,1.5
2014-10-31,2.2909789521990978,0.2523808328502211,1.5
2014-12-31,2.2159545868500983,0.5299445234490121,1.5
2015-03-31,2.233233997922729,0.46821192492939845,1.5
2015-04-30,2.368249252994359,0.32498613003732035,1.5
2015-06-30,2.4377177423132004,0.3406430162831798,1.5
2015-07-31,2.3209012521334413,0.37508271765221857,1.5
2015-08-31,2.2715542490062037,0.4938845705889073,1.5
2015-09-30,2.4311400505627527,0.859625874218868,1.1632967666412883
2015-11-30,2.4136136905648224,0.5850278039547798,1.5
2015-12-31,2.2668958815728897,0.8912049700614268,1.1220763276612724
2016-02-29,2.4409979647143727,0.7279894030317396,1.3736463688007845
2016-03-31,2.4443422515410265,0.5247180599560588,1.5
2016-05-31,2.455268518627415,0.4613178548172193,1.5
2016-06-30,2.6299971364449606,0.8134351549513134,1.2293542932255652
2016-08-31,2.663821508260652,0.8082923334739518,1.2371761534618417
2016-09-30,2.6690280562482265,0.7312014313381364,1.3676122025225639
2016-10-31,2.8217503975738834,0.7810664841556202,1.280300743004048
2016-11-30,2.9589200198769303,0.9002308638754838,1.110826167073423
2017-01-31,3.0996738551031036,0.9956694562205218,1.0043493789554583
2017-02-28,3.143713766983697,1.1801646655478903,0.847339383386598
2017-03-31,3.1444903501281596,1.1537977377861126,0.8667030340333158
2017-05-31,3.146206970143691,1.1565156677773178,0.8646661933442529
2017-06-30,3.194748350200842,1.9758737650618678,0.5061052065584202
2017-07-31,3.2180471646930218,1.9632594613291927,0.5093570257509246
2017-08-31,3.2574866132384996,2.070147416357874,0.48305738620264826
2017-10-31,3.277173847411052,1.8973432788850861,0.5270527537787566
2017-11-30,3.274597131707881,1.658543058121326,0.6029388233867895
2018-01-31,3.257599038510942,2.1028771173280565,0.4755389612449696
