ticker,month,close
AAPL,2005-01-31,1.1531554460525513
AMD,2005-01-31,15.800000190734863
AMZN,2005-01-31,2.1610000133514404
ASML,2005-01-31,15.494247436523438
BAC,2005-01-31,28.962196350097656
COST,2005-01-31,31.807636260986328
CVX,2005-01-31,24.46562767028809
DIA,2005-01-31,65.79627990722656
DIS,2005-01-31,22.71054649353028
GLD,2005-01-31,42.220001220703125
GOOGL,2005-01-31,4.858684539794922
GS,2005-01-31,78.01338958740234
HD,2005-01-31,24.77039909362793
INTC,2005-01-31,12.97654151916504
IWM,2005-01-31,46.92292785644531
JPM,2005-01-31,21.515913009643555
MS,2005-01-31,29.798486709594727
MSFT,2005-01-31,18.10353279113769
MU,2005-01-31,10.15700340270996
NFLX,2005-01-31,0.1642860025167465
NVDA,2005-01-31,0.1751153320074081
QCOM,2005-01-31,23.35720634460449
QQQ,2005-01-31,31.903976440429688
SMH,2005-01-31,13.251261711120604
SPY,2005-01-31,80.15430450439453
TLT,2005-01-31,46.56700134277344
UNH,2005-01-31,34.5472526550293
VTI,2005-01-31,39.37495803833008
WMT,2005-01-31,11.505572319030762
XLK,2005-01-31,7.642072200775146
XOM,2005-01-31,25.625980377197266
AAPL,2005-02-28,1.34539794921875
AMD,2005-02-28,17.450000762939453
AMZN,2005-02-28,1.758999943733215
ASML,2005-02-28,17.2766056060791
BAC,2005-02-28,29.13706970214844
COST,2005-02-28,31.4178409576416
CVX,2005-02-28,28.11293601989746
DIA,2005-02-28,67.76667785644531
DIS,2005-02-28,22.163209915161133
GLD,2005-02-28,43.52999877929688
GOOGL,2005-02-28,4.669174671173096
GS,2005-02-28,78.7005844116211
HD,2005-02-28,24.02597045898437
INTC,2005-02-28,13.915993690490724
IWM,2005-02-28,47.69341278076172
JPM,2005-02-28,21.06633949279785
MS,2005-02-28,30.07006072998047
MSFT,2005-02-28,17.385467529296875
MU,2005-02-28,11.220513343811035
NFLX,2005-02-28,0.1528570055961609
NVDA,2005-02-28,0.2214915603399276
QCOM,2005-02-28,22.656747817993164
QQQ,2005-02-28,31.75044631958008
SMH,2005-02-28,14.431604385375977
SPY,2005-02-28,81.82984924316406
TLT,2005-02-28,45.88148880004883
UNH,2005-02-28,35.425506591796875
VTI,2005-02-28,40.19595718383789
WMT,2005-02-28,11.332113265991213
XLK,2005-02-28,7.653582096099853
XOM,2005-02-28,31.5954704284668
AAPL,2005-03-31,1.2497265338897705
