date,long_return,short_return,factor_return
2006-01-31,-0.05086980617184475,0.04481093537442265,-0.0956807415462674
2006-02-28,-0.030587167938638547,-0.005018787457359397,-0.02556838048127915
2006-03-31,0.02151478137325485,-0.010030270758157699,0.03154505213141255
2006-04-30,-0.1396720352500824,-0.047689128508208854,-0.09198290674187354
2006-05-31,-0.1133936673424106,0.04154081124138325,-0.15493447858379386
2006-06-30,-0.09984631241854075,0.0077396206295102,-0.10758593304805095
2006-07-31,0.15659825993472784,0.11998061174302696,0.03661764819170088
2006-08-31,0.01171693945900305,0.0464706924182831,-0.03475375295928004
2006-09-30,0.11584953443147625,0.09348307244680559,0.022366461984670655
2006-10-31,0.04359737677260575,0.0101274381148911,0.03346993865771465
2006-11-30,0.01194829244864475,-0.00881325912363845,0.020761551572283203
2006-12-31,-0.052903282792551604,-0.10040513386042435,0.04750185106787275
2007-01-31,-0.03761279738196835,0.02121604096766,-0.05882883834962835
2007-02-28,-0.02371206901117505,-0.057413861093898046,0.033701792082722996
2007-03-31,0.0669137218286743,0.007103331732394299,0.05981039009628
2007-04-30,0.170836178640222,0.047231107332739344,0.12360507130748265
2007-05-31,-0.0017723426142511002,0.0154189108583107,-0.0171912534725618
2007-06-30,0.09368434117796826,-0.08227200924053175,0.1759563504185
2007-07-31,0.06772493811318535,-0.037632584608539854,0.1053575227217252
2007-08-31,0.1369662240249349,-0.007591445144700849,0.14455766916963575
2007-09-30,0.0973801211141104,-0.03112204732004855,0.12850216843415896
2007-10-31,-0.0124394778594561,-0.23109791726459625,0.21865843940514015
2007-11-30,0.05500284633439575,-0.18008149333474704,0.2350843396691428
2007-12-31,-0.23895449016891185,-0.011930991163653048,-0.2270234990052588
2008-01-31,-0.1233295544113526,0.012878360698630499,-0.1362079151099831
2008-02-29,0.12687842151175394,-0.19459807334946883,0.32147649486122276
2008-03-31,0.15750005983966225,0.15250832980828594,0.004991730031376318
2008-04-30,0.01721259225805515,0.1013920271584305,-0.08417943490037536
2008-05-31,-0.12710179391305415,-0.1926482815014584,0.06554648758840426
2008-06-30,0.0005123031908165999,-0.2364365982335242,0.2369489014243408
2008-07-31,-0.11946387271747325,0.2994786195025352,-0.41894249222000846
2008-08-31,0.007590263731554451,-0.09875067992057195,0.1063409436521264
2008-09-30,-0.13315658322684576,-0.00955484232284444,-0.12360174090400132
2008-10-31,0.0015706316234921,-0.23648740551516056,0.23805803713865267
2008-11-30,0.07204272894910731,-0.0022120515394019533,0.07425478048850925
2008-12-31,-0.1450901408263795,-0.0004904596742849503,-0.14459968115209454
2009-01-31,-0.00627678519036225,-0.2021310870064681,0.19585430181610583
2009-02-28,0.07630279354477204,0.5652038458340111,-0.488901052289239
2009-03-31,0.02199231129151275,0.23684212565158044,-0.2148498143600677
2009-04-30,-0.09676468299829845,0.2723052162891596,-0.36906989928745804
2009-05-31,-0.0017388788330278508,0.12736654715145654,-0.12910542598448438
2009-06-30,0.0439974815010978,0.13285778691884031,-0.08886030541774251
2009-07-31,0.0731553456839399,0.10272883548173135,-0.029573489797791452
2009-08-31,0.085417031946376,0.1303300393691353,-0.04491300742275929
2009-09-30,-0.13044633705540815,-0.0631398618661298,-0.06730647518927835
2009-10-31,0.12042017136938316,0.0318787485522813,0.08854142281710185
2009-11-30,0.18532854854278435,-0.011205452996236352,0.1965340015390207
2009-12-31,-0.2017906027657972,-0.014108297277636149,-0.18768230548816103
2010-01-31,0.04965617786038515,0.011765329136399251,0.0378908487239859
2010-02-28,0.1220070526672315,-0.006902726647863,0.1289097793150945
2010-03-31,-0.01134763316856225,0.019970739533592352,-0.0313183727021546
2010-04-30,0.0343678338898034,-0.009066890944240846,0.043434724834044244
2010-05-31,-0.0216593029849812,-0.06628046314954719,0.04462116016456599
2010-06-30,-0.0164598218330903,0.1622897983404835,-0.1787496201735738
2010-07-31,-0.01350645159357941,0.01303007409149555,-0.02653652568507496
2010-08-31,0.2750482453374316,0.15204234360175606,0.12300590173567555
2010-09-30,0.06119051233606805,-0.04842237285651935,0.1096128851925874
2010-10-31,0.1221034386427489,-0.0300769345677587,0.1521803732105076
2010-11-30,-0.027845655865149442,0.16590332526328205,-0.1937489811284315
2010-12-31,0.0629976326849721,0.15334224109400865,-0.09034460840903655
2011-01-31,0.003160968312482349,0.04435349436037255,-0.0411925260478902
2011-02-28,0.1305351081368165,-0.029353427050405948,0.15988853518722246
2011-03-31,0.1267309896943362,-0.008822357668251249,0.13555334736258745
2011-04-30,-0.01703609287826291,-0.03597172433277335,0.018935631454510438
2011-05-31,-0.06497412947138455,-0.0360310987575222,-0.028943030713862346
2011-06-30,0.0503665061823911,-0.0615026217865465,0.11186912796893761
2011-07-31,-0.0376431585552008,-0.1855223912074413,0.1478792326522405
2011-08-31,-0.4016555076787316,-0.2394592944590102,-0.16219621321972139
2011-09-30,0.0089683113462815,0.2128240266964006,-0.2038557153501191
2011-10-31,-0.0785342826144844,-0.20787943242612594,0.12934514981164152
2011-11-30,0.057294658926139,0.047911502893154795,0.009383156032984202
2011-12-31,0.0065683648678239994,0.5085565168900663,-0.5019881520222423
2012-01-31,0.0662705246441221,0.02020249238518635,0.04606803225893575
2012-02-29,0.0596453867718268,0.1198383669336723,-0.060192980161845495
2012-03-31,0.008116601066855949,-0.2448963233530959,0.2530129244199519
2012-04-30,-0.0360969719271389,-0.1610969568890176,0.1249999849618787
2012-05-31,0.04201497849912725,0.08583444724971985,-0.0438194687505926
2012-06-30,0.01526790563064465,-0.1150397466315107,0.13030765226215535
