month,return
2005-03-01,-0.055821825258072444
2005-04-01,-0.06437020387840353
2005-05-01,0.0645682826538696
2005-06-01,-0.0024303384993550337
2005-07-01,0.07387516909869807
2005-08-01,-0.0008160785695180417
2005-09-01,0.05802246581316961
2005-10-01,-0.04653522471543636
2005-11-01,0.08649101261627856
2005-12-01,-0.022957846212290245
2006-01-01,0.05911371714202218
2006-02-01,-0.03535487868806053
2006-03-01,-0.028544007215340783
2006-04-01,0.03291967195437362
2006-05-01,-0.04564381026148867
2006-06-01,-0.03679323587918615
2006-07-01,-0.016091469882245857
2006-08-01,0.0843887520918476
2006-09-01,0.022186423842077696
2006-10-01,0.005932816492300486
2006-11-01,0.06123567332785962
2006-12-01,-0.007433944556370697
2007-01-01,-0.001754322770318728
2007-02-01,-0.04274347469477047
2007-03-01,0.012081154718589504
2007-04-01,0.05615975306647458
2007-05-01,0.02635850544559415
2007-06-01,-0.0030209755115521153
2007-07-01,-0.03243936052877683
2007-08-01,-0.012850919481769307
2007-09-01,0.04263447744193094
2007-10-01,0.001460207987622697
2007-11-01,-0.06919851278412859
2007-12-01,-0.027636795012543014
2008-01-01,-0.04893039588350934
2008-02-01,-0.045970991557882535
2008-03-01,-0.03083896208071668
2008-04-01,0.06879730883139712
2008-05-01,0.0024628229311414174
2008-06-01,-0.08465440699956805
2008-07-01,-0.06292947539213334
2008-08-01,0.01918403712819794
2008-09-01,-0.1529621307681961
2008-10-01,-0.14199467229868745
2008-11-01,-0.1245356892252375
2008-12-01,0.18918065041694176
2009-01-01,0.00014052272495357343
2009-02-01,-0.044311632650027244
2009-03-01,0.2235859632119821
2009-04-01,0.074146438054155
2009-05-01,0.08421200807090257
2009-06-01,-0.04903449815511551
2009-07-01,0.07821371056384274
2009-08-01,0.03878843606791915
2009-09-01,0.1060594766717251
2009-10-01,-0.008914275600195198
2009-11-01,0.1059395021270726
2009-12-01,0.057106394399895066
2010-01-01,-0.12309810390749454
2010-02-01,0.005052727243792132
2010-03-01,0.06801226476781985
2010-04-01,-0.014306513022711909
2010-05-01,-0.08209851411709457
2010-06-01,-0.053697438125208885
2010-07-01,0.06780843271936599
2010-08-01,-0.11939721146365201
2010-09-01,0.08160407399930225
2010-10-01,0.06597050589294984
2010-11-01,0.00992515690331297
2010-12-01,0.06543408064990985
2011-01-01,0.03830199140625501
2011-02-01,0.044801527506712624
2011-03-01,0.000644651397828655
2011-04-01,0.05207774878034721
2011-05-01,-0.052023088521626515
2011-06-01,-0.05134755477087438
2011-07-01,-0.009789651398367627
2011-08-01,-0.08381191531994825
2011-09-01,-0.10244656371005789
2011-10-01,0.2201656616763703
2011-11-01,0.013594369492035074
2011-12-01,-0.000796002399823803
2012-01-01,0.08897671933166684
2012-02-01,0.03450405907694076
2012-03-01,0.012407812147803066
2012-04-01,-0.05965915222989804
2012-05-01,-0.13171615584633134
2012-06-01,0.08076131364692651
2012-07-01,-0.025480213360999815
2012-08-01,0.026728424824933095
2012-09-01,0.007971958624659825
2012-10-01,-0.05227359372744034
2012-11-01,-0.017372222874601606
2012-12-01,0.03697894787060796
2013-01-01,0.06593800201709188
2013-02-01,-0.02017872226636852
2013-03-01,0.02370588214640712
2013-04-01,0.034799093755917276
2013-05-01,0.10022225275174712
2013-06-01,-0.016132511983233733
2013-07-01,0.029339463086173412
2013-08-01,-0.03469835846167213
2013-09-01,0.05682714019911028
2013-10-01,0.0038708201963824074
2013-11-01,0.042735472840217614
2013-12-01,0.03845873120003218
2014-01-01,-0.055664594237157305
2014-02-01,0.06417833639453474
2014-03-01,0.025615844592105752
2014-04-01,-0.0027151399125814324
2014-05-01,0.014697902524733353
2014-06-01,0.07785528696131405
2014-07-01,-0.014130307468093739
2014-08-01,0.03723745346566165
2014-09-01,-0.03112766941005074
2014-10-01,-0.0032482055414272404
2014-11-01,0.013383196769622963
2014-12-01,0.010111962497004301
2015-01-01,-0.06411031839487602
2015-02-01,0.046151105286681204
2015-03-01,-0.05748315744715293
2015-04-01,0.012932161492210437
2015-05-01,0.00938280108838252
2015-06-01,-0.06580798851980174
2015-07-01,-0.05721725081073614
2015-08-01,-0.06878281731949332
2015-09-01,0.00023383132152154928
2015-10-01,0.1100427138766924
2015-11-01,-0.0076682514287761405
2015-12-01,-0.028360025897835373
2016-01-01,-0.07807434354469667
2016-02-01,-0.007396549552761922
2016-03-01,0.05940542165802065
2016-04-01,0.04969140729127708
2016-05-01,0.045174137264748504
2016-06-01,0.03771590942955094
2016-07-01,0.09040477945025627
2016-08-01,0.0540690227811933
2016-09-01,0.012411636789213087
2016-10-01,-0.0013072767556627785
2016-11-01,0.09486795885368515
2016-12-01,0.08983788127672332
2017-01-01,0.00046262366813021316
2017-02-01,0.03695057121444223
2017-03-01,0.00046776390434377646
2017-04-01,-0.01883356501391442
2017-05-01,-0.012843934684853897
2017-06-01,0.0008560160598003463
2017-07-01,0.04318507248082115
2017-08-01,0.006135053624750864
2017-09-01,0.05801134555647214
2017-10-01,0.032819982093225786
2017-11-01,-0.005996563114299414
2017-12-01,0.008942394925539388
2018-01-01,0.06371027678508323
2018-02-01,-0.026512652529640968
2018-03-01,0.003003980348809998
2018-04-01,0.017397786203282584
2018-05-01,0.06291063613362446
2018-06-01,-0.03741764889175703
2018-07-01,0.03855654521240748
2018-08-01,0.02355459162439777
2018-09-01,-0.011072264257934061
2018-10-01,-0.09964643952779928
2018-11-01,-0.014392231312254089
2018-12-01,-0.11507350927320681
2019-01-01,0.10090919566988465
2019-02-01,0.022950360957839422
2019-03-01,0.009436157115506605
