ticker,direction,confidence,sharpe,max_dd
GOOGL,UP,0.5574649216103212,1.0333841625451945,-21.58457651559199
NVDA,UP,0.5565187381607095,1.4328603742407175,-25.05605633425364
META,DOWN,0.5448761037103202,0.0,0.0
AMZN,DOWN,0.5387355089569268,0.0,0.0
MSFT,DOWN,0.5312068873407627,0.0,0.0
XOM,DOWN,0.5174662993599395,0.0,0.0
TSLA,DOWN,0.5149422479654584,0.0,0.0
JPM,DOWN,0.5137128251260475,0.0,0.0
AAPL,DOWN,0.46732934963400785,0.0,0.0
